Banco,FechaReporte,Indicador,CategoriaIndicador,Saldo,TipoInstitucion
AZTECA,2024-01-31,(ACTIVOS LÍQUIDOS + PRÉSTAMOS VIGENTES A INSTITUCIONES FINANCIERAS)/(DEPÓSITOS DEL PÚBLICO+PRÉSTAMOS DE INSTITUCIONES FINANCIERAS),3) INDICADORES DE LIQUIDEZ,64.47066790103821,BANCOS COMERCIALES
AZTECA,2024-01-31,CALCES DE POSICIÓN EN MONEDA EXTRANJERA,5) INDICADORES DE CUMPLIMIENTO,8.75284813416666,BANCOS COMERCIALES
AZTECA,2024-01-31,CARTERA DE TARJETAS DE CRÉDITO/CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,0.93709804747363,BANCOS COMERCIALES
AZTECA,2024-01-31,GASTOS DE ADMINISTRACIÓN (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,6) INDICADORES DE GESTIÓN,24.89425610819901,BANCOS COMERCIALES
AZTECA,2024-01-31,GASTOS DE ADMINISTRACIÓN/INGRESOS TOTALES,6) INDICADORES DE GESTIÓN,58.43786853767554,BANCOS COMERCIALES
AZTECA,2024-01-31,INDICE DE ADECUACIÓN DE CAPITAL,1) INDICADORES DE SOLVENCIA,29.02390162730489,BANCOS COMERCIALES
AZTECA,2024-01-31,INDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA DIRECTA (SIN CONTINGENTES),2) INDICADORES DE CALIDAD DE ACTIVOS,10.33904226503298,BANCOS COMERCIALES
AZTECA,2024-01-31,RATIO DE COBERTURA DE LIQUIDEZ,5) INDICADORES DE CUMPLIMIENTO,639.6065207664676,BANCOS COMERCIALES
AZTECA,2024-01-31,RENTABILIDAD SOBRE ACTIVOS (ROA): RESULTADOS EL EJERCICIO (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,4) INDICADORES DE RENTABILIDAD,5.1406401189919,BANCOS COMERCIALES
AZTECA,2024-01-31,RENTABILIDAD SOBRE EL PATRIMONIOS (ROE): RESULTADOS EL EJERCICIO (ANUALIZADOS)/CAPITAL Y RESERVAS PROMEDIO,4) INDICADORES DE RENTABILIDAD,19.94413480638078,BANCOS COMERCIALES
AZTECA,2024-01-31,SPREAD DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,53.37858170782189,BANCOS COMERCIALES
AZTECA,2024-01-31,TASA ACTIVA DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,57.02108618189136,BANCOS COMERCIALES
AZTECA,2024-01-31,TASA PASIVA PARA INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,3.64250447406946,BANCOS COMERCIALES
AZTECA,2024-01-31,ÍNDICE DE COBERTURA DE LA MORA DE CARTERA,2) INDICADORES DE CALIDAD DE ACTIVOS,195.2927918774488,BANCOS COMERCIALES
AZTECA,2024-01-31,ÍNDICE DE INVERSIÓN EN ACTIVOS FIJOS,5) INDICADORES DE CUMPLIMIENTO,22.48443828666666,BANCOS COMERCIALES
AZTECA,2024-01-31,ÍNDICE DE LIQUIDEZ: COBERTURA DE DEPÓSITOS DEL PÚBLICO CON ACTIVOS LÍQUIDOS,3) INDICADORES DE LIQUIDEZ,65.48835727739166,BANCOS COMERCIALES
AZTECA,2024-01-31,ÍNDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,10.227148683209911,BANCOS COMERCIALES
BAC CREDOMATIC,2024-01-31,(ACTIVOS LÍQUIDOS + PRÉSTAMOS VIGENTES A INSTITUCIONES FINANCIERAS)/(DEPÓSITOS DEL PÚBLICO+PRÉSTAMOS DE INSTITUCIONES FINANCIERAS),3) INDICADORES DE LIQUIDEZ,33.21650666510189,BANCOS COMERCIALES
